Teritoriālā vienība;Dzīvojamā platība uz vienu iemītnieku;2011;2021
Rīga;<10 m²;18643;10092
Rīga;10–14.9 m²;39600;26556
Rīga;15–19.9 m²;46465;36749
Rīga;20–29.9 m²;70863;67380
Rīga;30–39.9 m²;38739;48849
Rīga;40–59.9 m²;40190;64553
Rīga;60–79.9 m²;9753;22621
Rīga;80+ m²;5803;11549
Atgāzene;<10 m²;42;21
Atgāzene;10–14.9 m²;50;24
Atgāzene;15–19.9 m²;49;41
Atgāzene;20–29.9 m²;114;118
Atgāzene;30–39.9 m²;61;62
Atgāzene;40–59.9 m²;67;90
Atgāzene;60–79.9 m²;43;53
Atgāzene;80+ m²;40;68
Avoti;<10 m²;793;491
Avoti;10–14.9 m²;1128;898
Avoti;15–19.9 m²;1124;957
Avoti;20–29.9 m²;2107;2138
Avoti;30–39.9 m²;993;1186
Avoti;40–59.9 m²;1291;1718
Avoti;60–79.9 m²;404;587
Avoti;80+ m²;335;537
Āgenskalns;<10 m²;1140;649
Āgenskalns;10–14.9 m²;1944;1413
Āgenskalns;15–19.9 m²;1610;1346
Āgenskalns;20–29.9 m²;3001;2910
Āgenskalns;30–39.9 m²;1321;1651
Āgenskalns;40–59.9 m²;1748;2556
Āgenskalns;60–79.9 m²;340;622
Āgenskalns;80+ m²;249;442
Beberbeķi;<10 m²;8;2
Beberbeķi;10–14.9 m²;6;7
Beberbeķi;15–19.9 m²;13;6
Beberbeķi;20–29.9 m²;11;16
Beberbeķi;30–39.9 m²;9;19
Beberbeķi;40–59.9 m²;27;29
Beberbeķi;60–79.9 m²;19;24
Beberbeķi;80+ m²;33;61
Berģi;<10 m²;47;22
Berģi;10–14.9 m²;96;56
Berģi;15–19.9 m²;90;70
Berģi;20–29.9 m²;150;150
Berģi;30–39.9 m²;112;123
Berģi;40–59.9 m²;161;190
Berģi;60–79.9 m²;71;95
Berģi;80+ m²;111;179
Bieriņi;<10 m²;199;151
Bieriņi;10–14.9 m²;305;200
Bieriņi;15–19.9 m²;272;208
Bieriņi;20–29.9 m²;525;513
Bieriņi;30–39.9 m²;317;337
Bieriņi;40–59.9 m²;429;533
Bieriņi;60–79.9 m²;233;307
Bieriņi;80+ m²;328;534
Bišumuiža;<10 m²;80;32
Bišumuiža;10–14.9 m²;91;81
Bišumuiža;15–19.9 m²;141;134
Bišumuiža;20–29.9 m²;225;259
Bišumuiža;30–39.9 m²;167;212
Bišumuiža;40–59.9 m²;109;213
Bišumuiža;60–79.9 m²;51;216
Bišumuiža;80+ m²;33;59
Bolderāja;<10 m²;466;314
Bolderāja;10–14.9 m²;837;663
Bolderāja;15–19.9 m²;1116;992
Bolderāja;20–29.9 m²;1203;1390
Bolderāja;30–39.9 m²;829;996
Bolderāja;40–59.9 m²;580;1082
Bolderāja;60–79.9 m²;122;215
Bolderāja;80+ m²;37;49
Brasa;<10 m²;319;175
Brasa;10–14.9 m²;700;518
Brasa;15–19.9 m²;800;599
Brasa;20–29.9 m²;1617;1474
Brasa;30–39.9 m²;848;976
Brasa;40–59.9 m²;1115;1602
Brasa;60–79.9 m²;252;449
Brasa;80+ m²;116;297
Brekši;<10 m²;55;46
Brekši;10–14.9 m²;129;87
Brekši;15–19.9 m²;121;93
Brekši;20–29.9 m²;170;172
Brekši;30–39.9 m²;98;138
Brekši;40–59.9 m²;95;147
Brekši;60–79.9 m²;11;26
Brekši;80+ m²;12;25
Bukulti;<10 m²;4;3
