Teritoriālā vienība;Īpašumtiesību veids;Skaits 2011;Skaits 2021;% 2011;% 2021
Rīga;Pavisam;271750;291403;100;100
Rīga;Īpašnieka apdzīvoti mājokļi;183783;185119;68;64
Rīga;Īres mājokļi;39104;51762;14;18
Rīga;Citu īpašumtiesību veidu mājokļi;48385;54228;18;19
Atgāzene;Pavisam;480;492;100;100
Atgāzene;Īpašnieka apdzīvoti mājokļi;262;286;55;58
Atgāzene;Īres mājokļi;97;115;20;23
Atgāzene;Citu īpašumtiesību veidu mājokļi;114;89;24;18
Avoti;Pavisam;8301;8791;100;100
Avoti;Īpašnieka apdzīvoti mājokļi;2602;3215;31;37
Avoti;Īres mājokļi;4249;4232;51;48
Avoti;Citu īpašumtiesību veidu mājokļi;1441;1324;17;15
Āgenskalns;Pavisam;11398;11767;100;100
Āgenskalns;Īpašnieka apdzīvoti mājokļi;6617;6432;58;55
Āgenskalns;Īres mājokļi;2720;3001;24;26
Āgenskalns;Citu īpašumtiesību veidu mājokļi;2040;2310;18;20
Beberbeķi;Pavisam;132;183;100;100
Beberbeķi;Īpašnieka apdzīvoti mājokļi;100;131;76;72
Beberbeķi;Īres mājokļi;4;12;3;7
Beberbeķi;Citu īpašumtiesību veidu mājokļi;26;32;20;17
Berģi;Pavisam;842;898;100;100
Berģi;Īpašnieka apdzīvoti mājokļi;668;671;79;75
Berģi;Īres mājokļi;37;59;4;7
Berģi;Citu īpašumtiesību veidu mājokļi;137;157;16;17
Bieriņi;Pavisam;2631;2850;100;100
Bieriņi;Īpašnieka apdzīvoti mājokļi;1878;1899;71;67
Bieriņi;Īres mājokļi;310;367;12;13
Bieriņi;Citu īpašumtiesību veidu mājokļi;441;568;17;20
Bišumuiža;Pavisam;903;1218;100;100
Bišumuiža;Īpašnieka apdzīvoti mājokļi;653;864;72;71
Bišumuiža;Īres mājokļi;86;151;10;12
Bišumuiža;Citu īpašumtiesību veidu mājokļi;162;203;18;17
Bolderāja;Pavisam;5240;5735;100;100
Bolderāja;Īpašnieka apdzīvoti mājokļi;3773;3455;72;60
Bolderāja;Īres mājokļi;474;1246;9;22
Bolderāja;Citu īpašumtiesību veidu mājokļi;987;1027;19;18
Brasa;Pavisam;5809;6344;100;100
Brasa;Īpašnieka apdzīvoti mājokļi;3178;3399;55;54
Brasa;Īres mājokļi;1779;1790;31;28
Brasa;Citu īpašumtiesību veidu mājokļi;842;1147;14;18
Brekši;Pavisam;691;745;100;100
Brekši;Īpašnieka apdzīvoti mājokļi;467;505;68;68
Brekši;Īres mājokļi;84;70;12;9
Brekši;Citu īpašumtiesību veidu mājokļi;140;160;20;21
Bukulti;Pavisam;201;230;100;100
Bukulti;Īpašnieka apdzīvoti mājokļi;156;176;78;77
Bukulti;Īres mājokļi;3;14;1;6
Bukulti;Citu īpašumtiesību veidu mājokļi;39;40;19;17
Buļļi;Pavisam;87;119;100;100
Buļļi;Īpašnieka apdzīvoti mājokļi;70;92;80;77
Buļļi;Īres mājokļi;1;3;1;3
Buļļi;Citu īpašumtiesību veidu mājokļi;15;24;17;20
Centrs (Rīga);Pavisam;12855;14119;100;100
Centrs (Rīga);Īpašnieka apdzīvoti mājokļi;5063;6170;39;44
Centrs (Rīga);Īres mājokļi;5198;5441;40;39
Centrs (Rīga);Citu īpašumtiesību veidu mājokļi;2545;2490;20;18
Čiekurkalns;Pavisam;3419;3840;100;100
Čiekurkalns;Īpašnieka apdzīvoti mājokļi;2073;2300;61;60
Čiekurkalns;Īres mājokļi;691;838;20;22
Čiekurkalns;Citu īpašumtiesību veidu mājokļi;645;697;19;18
Daugavgrīva;Pavisam;3408;3417;100;100
Daugavgrīva;Īpašnieka apdzīvoti mājokļi;2740;2331;80;68
Daugavgrīva;Īres mājokļi;206;449;6;13
Daugavgrīva;Citu īpašumtiesību veidu mājokļi;443;636;13;19
Dārzciems;Pavisam;7633;8029;100;100
Dārzciems;Īpašnieka apdzīvoti mājokļi;5711;5713;75;71
Dārzciems;Īres mājokļi;451;804;6;10
Dārzciems;Citu īpašumtiesību veidu mājokļi;1462;1507;19;19
Dārziņi;Pavisam;847;1702;100;100
Dārziņi;Īpašnieka apdzīvoti mājokļi;620;1080;73;63
Dārziņi;Īres mājokļi;18;160;2;9
Dārziņi;Citu īpašumtiesību veidu mājokļi;204;449;24;26
Dreiliņi;Pavisam;2127;2842;100;100
Dreiliņi;Īpašnieka apdzīvoti mājokļi;665;722;31;25
Dreiliņi;Īres mājokļi;1195;1809;56;64
Dreiliņi;Citu īpašumtiesību veidu mājokļi;263;311;12;11
Dzirciems;Pavisam;5112;5405;100;100
Dzirciems;Īpašnieka apdzīvoti mājokļi;3568;3447;70;64
Dzirciems;Īres mājokļi;583;855;11;16
Dzirciems;Citu īpašumtiesību veidu mājokļi;954;1099;19;20
Grīziņkalns;Pavisam;6093;6308;100;100
Grīziņkalns;Īpašnieka apdzīvoti mājokļi;2132;2459;35;39
Grīziņkalns;Īres mājokļi;2798;2820;46;45
Grīziņkalns;Citu īpašumtiesību veidu mājokļi;1156;1023;19;16
Iļģuciems;Pavisam;10061;10388;100;100
Iļģuciems;Īpašnieka apdzīvoti mājokļi;7622;7319;76;70
Iļģuciems;Īres mājokļi;674;1140;7;11
Iļģuciems;Citu īpašumtiesību veidu mājokļi;1760;1928;17;19
Imanta;Pavisam;19187;20917;100;100
Imanta;Īpašnieka apdzīvoti mājokļi;15243;14988;79;72
Imanta;Īres mājokļi;932;1988;5;10
Imanta;Citu īpašumtiesību veidu mājokļi;2999;3923;16;19
Jaunciems;Pavisam;842;885;100;100
Jaunciems;Īpašnieka apdzīvoti mājokļi;608;613;72;69
Jaunciems;Īres mājokļi;45;71;5;8
Jaunciems;Citu īpašumtiesību veidu mājokļi;183;198;22;22
Jugla;Pavisam;11054;11484;100;100
Jugla;Īpašnieka apdzīvoti mājokļi;7887;7570;71;66
Jugla;Īres mājokļi;965;1474;9;13
Jugla;Citu īpašumtiesību veidu mājokļi;2192;2437;20;21
Katlakalns;Pavisam;49;51;100;100
Katlakalns;Īpašnieka apdzīvoti mājokļi;28;24;57;47
Katlakalns;Īres mājokļi;8;20;16;39
Katlakalns;Citu īpašumtiesību veidu mājokļi;11;6;22;12
Kleisti;Pavisam;74;169;100;100
Kleisti;Īpašnieka apdzīvoti mājokļi;43;99;58;59
Kleisti;Īres mājokļi;20;34;27;20
Kleisti;Citu īpašumtiesību veidu mājokļi;9;33;12;20
Kundziņsala;Pavisam;141;139;100;100
