"Apdzīvoti mājokļi un tajos dzīvojošās personas reģionos, republikas pilsētās, novados un apkaimēs – Teritoriālā vienība, Dzīvojamo telpu veids, Mērvienība un Laika periods"

"Teritoriālā vienība";"Dzīvojamo telpu veids";"Apdzīvoti mājokļi 2011";"Apdzīvoti mājokļi 2021";"Mājokļos dzīvojošās personas 2011";"Mājokļos dzīvojošās personas 2021"
"Rīga (pirms ATR 2021. gadā)";"Pavisam";272139;291697;658637;614618
"Rīga (pirms ATR 2021. gadā)";"Apdzīvotie tradicionālie mājokļi";271548;288431;649185;598908
"Rīga (pirms ATR 2021. gadā)";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";398;294;7204;5085
"Rīga (pirms ATR 2021. gadā)";"Citas dzīvojamās vienības";193;1475;2248;5344
"Rīga (pirms ATR 2021. gadā)";"Nav norādīts";0;1497;0;5281
"..Atgāzene";"Pavisam";482;495;1247;1324
"..Atgāzene";"Apdzīvotie tradicionālie mājokļi";479;479;1209;1071
"..Atgāzene";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;3;36;219
"..Atgāzene";"Citas dzīvojamās vienības";1;7;2;20
"..Atgāzene";"Nav norādīts";0;6;0;14
"..Avoti";"Pavisam";8301;8791;18567;17602
"..Avoti";"Apdzīvotie tradicionālie mājokļi";8289;8556;18545;17113
"..Avoti";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Avoti";"Citas dzīvojamās vienības";12;100;22;187
"..Avoti";"Nav norādīts";0;135;0;302
"..Āgenskalns";"Pavisam";11420;11780;26837;23800
"..Āgenskalns";"Apdzīvotie tradicionālie mājokļi";11388;11590;26495;23257
"..Āgenskalns";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";23;13;321;189
"..Āgenskalns";"Citas dzīvojamās vienības";9;65;21;133
"..Āgenskalns";"Nav norādīts";0;112;0;221
"..Beberbeķi";"Pavisam";132;183;442;495
"..Beberbeķi";"Apdzīvotie tradicionālie mājokļi";128;166;430;461
"..Beberbeķi";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Beberbeķi";"Citas dzīvojamās vienības";4;5;12;10
"..Beberbeķi";"Nav norādīts";0;12;0;24
