Teritoriālā vienība;Dzīvojamo telpu veids;Apdzīvoti mājokļi 2011;Apdzīvoti mājokļi 2021;Mājokļos dzīvojošās personas 2011;Mājokļos dzīvojošās personas 2021;Mājokļu pieaugums;Cilvēku pieaugums
Rīga;Pavisam;272139;291697;658637;614618;19558;-44019
Rīga;Apdzīvotie tradicionālie mājokļi;271548;288431;649185;598908;16883;-50277
Rīga;Instucionālie mājokļi (kopējas dzīvojamās telpas);398;294;7204;5085;-104;-2119
Rīga;Citas dzīvojamās vienības;193;1475;2248;5344;1282;3096
Atgāzene;Pavisam;482;495;1247;1324;13;77
Atgāzene;Apdzīvotie tradicionālie mājokļi;479;479;1209;1071;0;-138
Atgāzene;Instucionālie mājokļi (kopējas dzīvojamās telpas);2;3;36;219;1;183
Atgāzene;Citas dzīvojamās vienības;1;7;2;20;6;18
Avoti;Pavisam;8301;8791;18567;17602;490;-965
Avoti;Apdzīvotie tradicionālie mājokļi;8289;8556;18545;17113;267;-1432
Avoti;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Avoti;Citas dzīvojamās vienības;12;100;22;187;88;165
Āgenskalns;Pavisam;11420;11780;26837;23800;360;-3037
Āgenskalns;Apdzīvotie tradicionālie mājokļi;11388;11590;26495;23257;202;-3238
Āgenskalns;Instucionālie mājokļi (kopējas dzīvojamās telpas);23;13;321;189;-10;-132
Āgenskalns;Citas dzīvojamās vienības;9;65;21;133;56;112
Beberbeķi;Pavisam;132;183;442;495;51;53
Beberbeķi;Apdzīvotie tradicionālie mājokļi;128;166;430;461;38;31
Beberbeķi;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Beberbeķi;Citas dzīvojamās vienības;4;5;12;10;1;-2
Berģi;Pavisam;843;901;2898;2851;58;-47
Berģi;Apdzīvotie tradicionālie mājokļi;842;885;2564;2392;43;-172
Berģi;Instucionālie mājokļi (kopējas dzīvojamās telpas);1;3;334;435;2;101
Berģi;Citas dzīvojamās vienības;0;6;0;13;6;13
Bieriņi;Pavisam;2632;2852;7966;7692;220;-274
Bieriņi;Apdzīvotie tradicionālie mājokļi;2627;2784;7950;7496;157;-454
Bieriņi;Instucionālie mājokļi (kopējas dzīvojamās telpas);1;2;8;8;1;0
Bieriņi;Citas dzīvojamās vienības;4;28;8;74;24;66
Bišumuiža;Pavisam;903;1218;2354;2696;315;342
Bišumuiža;Apdzīvotie tradicionālie mājokļi;902;1206;2353;2660;304;307
Bišumuiža;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Bišumuiža;Citas dzīvojamās vienības;1;6;1;20;5;19
Bolderāja;Pavisam;5240;5736;12995;12447;496;-548
Bolderāja;Apdzīvotie tradicionālie mājokļi;5237;5701;12988;12344;464;-644
Bolderāja;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;1;0;5;1;5
Bolderāja;Citas dzīvojamās vienības;3;15;7;55;12;48
Brasa;Pavisam;5811;6345;13217;12367;534;-850
